problema;  modelo;  lb_cmax; num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_nodes_processed; nb_linear_nonzeros; status; time; has_hit_limit 
ID005_M015_J015; manne; 0; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 0; 9900; optimal; 0.020169973373413086; False;  
ID005_M015_J015; manne; 1162.0; 15; 15; False; nan; 1162.0; nan; 3375; 1801; 1108; 1107; 0; 9900; optimal; 0.020995140075683594; False;  
ID005_M015_J015; liao; 0; 15; 15; False; nan; 849.0; nan; 1800; 3376; 1788; 333; 0; 6750; optimal; 0.007503986358642578; False;  
ID005_M015_J015; liao; 1162.0; 15; 15; False; nan; 1162.0; nan; 1800; 3376; 1787; 333; 0; 6750; optimal; 0.007528781890869141; False;  
ID005_M015_J015; liao_desig; 0; 15; 15; False; nan; 915.0571519412489; nan; 8535; 3376; 2687; 3470; 0; 26295; optimal; 0.11605095863342285; False;  
ID005_M015_J015; liao_desig; 1162.0; 15; 15; False; nan; 1162.0; nan; 8535; 3376; 2635; 2066; 0; 26295; optimal; 0.12227201461791992; False;  
ID006_M015_J015; minla_fav; 0; 15; 15; True; 1242.983606557377; 1243.0; 1.3188610316156916e-05; 10110; 1801; 990; 17034488; 115249; 29445; integer optimal, tolerance; 680.8959450721741; False;  
ID006_M015_J015; minla_fav; 1243.0; 15; 15; True; 1243.0; 1243.0; 0.0; 10110; 1801; 991; 2143363; 49649; 29445; integer optimal solution; 126.95471000671387; False;  
ID006_M015_J015; manne; 0; 15; 15; True; 1242.9310344827588; 1242.9999999999995; 5.548311926042425e-05; 3375; 1801; 1010; 15336692; 114607; 9900; integer optimal, tolerance; 294.3865249156952; False;  
ID006_M015_J015; manne; 1243.0; 15; 15; True; 1243.0; 1243.0; 0.0; 3375; 1801; 977; 11611066; 147639; 9900; integer optimal solution; 215.14804792404175; False;  
ID006_M015_J015; liao; 0; 15; 15; True; 1119.6388043468633; 1243.0000000000002; 0.09924472699366615; 1800; 3376; 2504; 183331858; 145839; 6750; time limit exceeded; 7200.009743928909; True;  
ID006_M015_J015; liao; 1243.0; 15; 15; True; 1243.0000000000005; 1243.0000000000005; 0.0; 1800; 3376; 2494; 37360612; 453599; 6750; integer optimal solution; 1046.4453029632568; False;  
ID006_M015_J015; liao_desig; 0; 15; 15; True; 1187.0411148619407; 1242.9999999999998; 0.045019215718467044; 8535; 3376; 2513; 113928798; 251426; 26295; time limit exceeded; 7200.01136302948; True;  
ID006_M015_J015; liao_desig; 1243.0; 15; 15; True; 1243.0; 1243.0; 0.0; 8535; 3376; 2502; 41855280; 137473; 26295; integer optimal solution; 2235.053904056549; False;  
ID006_M015_J015; minla_fav; 0; 15; 15; False; nan; 979.4327546182903; nan; 10110; 1801; 1125; 3140; 0; 29445; optimal; 0.08768892288208008; False;  
ID006_M015_J015; minla_fav; 1243.0; 15; 15; False; nan; 1243.0; nan; 10110; 1801; 1175; 2163; 0; 29445; optimal; 0.07442808151245117; False;  
ID006_M015_J015; manne; 0; 15; 15; False; nan; 935.0; nan; 3375; 1801; 1134; 1133; 0; 9900; optimal; 0.026379108428955078; False;  
